ID,Current Team,Overall KD,Search Destroy KD,Control KD,Hardpoint KD
 04,VAN Surge,0.929,0.75,1.097,0.882
 Abuzah,VAN Surge,0.79,0.6,1.174,0.702
 Hicksy,VAN Surge,1.125,1.133,1.037,1.174
 Nastie,VAN Surge,0.989,1.083,0.958,0.981
Average,VAN Surge,0.95825,0.8915,1.0665,0.93475
 Attach,Cloud9 NY,0.705,0.625,0.786,0.673
 Kremp,Cloud9 NY,0.837,0.7,0.769,0.9
 Mack,Cloud9 NY,0.964,1.286,1.0,0.904
 Sib,Cloud9 NY,0.759,1.125,1.083,0.564
Average,Cloud9 NY,0.8162499999999999,0.934,0.9095,0.76025
 Beans,TOR Ultra,1.084,1.046,1.1,1.087
 CleanX,TOR Ultra,1.125,1.263,1.096,1.113
 Insight,TOR Ultra,1.007,1.25,0.976,0.977
 JoeDeceives,TOR Ultra,0.953,1.278,0.857,0.942
Average,TOR Ultra,1.04225,1.20925,1.00725,1.02975
 Cammy,BOS Breach,1.101,0.917,1.128,1.133
 Owakening,BOS Breach,1.018,0.815,1.212,1.009
 Purj,BOS Breach,0.933,1.035,1.0,0.885
 Snoopy,BOS Breach,1.077,1.233,1.132,1.018
Average,BOS Breach,1.03225,1.0,1.118,1.01125
 Cellium,ATL FaZe,0.942,1.0,0.842,0.977
 Drazah,ATL FaZe,0.897,0.714,0.522,1.104
 Simp,ATL FaZe,0.928,0.286,0.947,1.023
 aBeZy,ATL FaZe,1.11,1.143,1.412,1.0
Average,ATL FaZe,0.96925,0.78575,0.93075,1.026
 Dashy,OpTic TEX,1.108,1.25,1.292,1.0
 Kenny,OpTic TEX,0.75,0.25,1.133,0.69
 Pred,OpTic TEX,1.102,1.0,0.826,1.255
 Shotzzy,OpTic TEX,1.264,1.417,1.071,1.333
Average,OpTic TEX,1.056,0.97925,1.0805,1.0695
 Envoy,LA Thieves,1.176,1.286,1.0,1.275
 Ghosty,LA Thieves,1.0,1.5,0.955,0.947
 HyDra,LA Thieves,1.431,0.5,1.273,1.75
 Scrappy,LA Thieves,1.246,1.286,1.182,1.275
Average,LA Thieves,1.21325,1.143,1.1025,1.31175
 Estreal,MIN RØKKR,0.816,0.813,1.023,0.737
 Gio,MIN RØKKR,0.808,1.04,0.633,0.832
 Nero,MIN RØKKR,0.974,0.875,1.1,0.959
 PaulEhx,MIN RØKKR,0.989,1.069,0.865,1.009
Average,MIN RØKKR,0.8967499999999999,0.94925,0.90525,0.88425
 Exnid,LV Falcons,0.91,0.75,0.907,0.933
 Khhx,LV Falcons,1.241,1.273,1.0,1.362
 KingAbody,LV Falcons,0.739,0.769,0.727,0.741
 Roxas,LV Falcons,0.916,1.167,0.9,0.886
Average,LV Falcons,0.9515,0.98975,0.8835,0.9805
 Gwinn,CAR Royal Ravens,1.239,1.0,1.059,1.349
 SlasheR,CAR Royal Ravens,1.231,0.667,1.167,1.319
 TJHaLy,CAR Royal Ravens,0.88,1.0,1.133,0.793
 Vivid,CAR Royal Ravens,0.845,0.167,1.2,0.82
Average,CAR Royal Ravens,1.04875,0.7084999999999999,1.13975,1.07025
 KiSMET,LA Guerrillas M8,1.032,0.8,1.111,1.059
 Lynz,LA Guerrillas M8,1.177,1.5,0.719,1.38
 Priestahh,LA Guerrillas M8,0.914,0.615,0.594,1.208
 Skyz,LA Guerrillas M8,1.372,2.222,1.478,1.152
Average,LA Guerrillas M8,1.12375,1.28425,0.9755,1.19975
 Lucky,MIA Heretics,1.019,1.333,1.191,0.815
 MettalZ,MIA Heretics,1.151,2.0,1.316,0.933
 ReeaL,MIA Heretics,1.103,2.0,1.0,1.033
 RenKoR,MIA Heretics,1.07,0.5,1.048,1.2
Average,MIA Heretics,1.08575,1.45825,1.13875,0.99525
